Ratio_Missing:	nsam[0]:	Eff_length1_pop_outg[0]:	Eff_length2_pop_outg[0]:	Eff_length3_pop_outg[0]:	S[0]:	Theta(Wat)[0]:	Theta(Taj)[0]:	Theta(Fu&Li)[0]:	Theta(Fay&Wu)[0]:	Theta(Zeng)[0]:	Theta(Achaz,Wat)[0]:	Theta(Achaz,Taj)[0]:	Theta/nt(Taj)HKY[0]:	Divergence[0]:	Divergence/nt_HKY[0]:	TajimaD[0]:	Fu&LiD[0]:	Fu&LiF[0]:	Fay&WunormH[0]:	ZengE[0]:	AchazY[0]:	FerrettiL[0]:	
NA	100	100000.00	100000.00	100000.00	751	145.054132	66.637172	188.000000	367.544646	217.090909	134.773551	64.160379	NA	NA	NA	-1.838741	-0.909384	-1.548537	-3.550725	1.561975	-1.968054	-2.866127	
NA	100	100000.00	100000.00	100000.00	615	118.786007	49.965455	209.000000	286.175960	168.070707	97.190163	46.719852	NA	NA	NA	-1.968315	-2.319632	-2.469929	-3.399163	1.302088	-1.946768	-2.627907	
NA	100	100000.00	100000.00	100000.00	457	88.268626	34.160606	211.000000	259.152525	146.656566	58.888621	30.551639	NA	NA	NA	-2.078011	-4.202096	-3.673402	-4.346132	2.067261	-1.795729	-3.596607	
NA	100	100000.00	100000.00	100000.00	536	103.527316	31.911515	171.000000	277.381414	154.646465	87.375392	29.072975	NA	NA	NA	-2.347959	-1.981587	-2.472040	-4.048681	1.546844	-2.499507	-3.126597	
NA	100	100000.00	100000.00	100000.00	612	118.206563	27.060000	277.000000	334.212727	180.636364	80.193853	21.959184	NA	NA	NA	-2.619552	-4.102377	-3.900447	-4.441557	1.657364	-2.718274	-3.407588	
NA	100	100000.00	100000.00	100000.00	546	105.458796	60.001010	163.000000	290.685859	175.343434	91.684316	57.898990	NA	NA	NA	-1.463254	-1.660031	-1.797759	-3.735710	2.076477	-1.380861	-3.270874	
NA	100	100000.00	100000.00	100000.00	735	141.963764	52.926667	247.000000	379.214747	216.070707	116.819703	48.965986	NA	NA	NA	-2.132971	-2.271306	-2.529387	-3.933518	1.641486	-2.180084	-3.122188	
NA	100	100000.00	100000.00	100000.00	554	107.003980	21.678384	265.000000	390.200404	205.939394	69.182160	16.712637	NA	NA	NA	-2.707188	-4.494517	-4.186851	-5.882366	2.897781	-2.835161	-4.929554	
NA	100	100000.00	100000.00	100000.00	790	152.586903	43.762828	224.000000	462.823030	253.292929	135.491704	40.084519	NA	NA	NA	-2.426385	-1.439349	-2.187804	-4.702212	2.076837	-2.645064	-3.800874	
NA	100	100000.00	100000.00	100000.00	594	114.729899	47.518182	112.000000	393.350505	220.434343	115.383395	46.202226	NA	NA	NA	-1.989816	0.072595	-1.036204	-5.151275	2.890172	-2.250238	-4.527031	
NA	100	100000.00	100000.00	100000.00	439	84.791962	20.831515	133.000000	219.612929	120.222222	73.251699	18.542362	NA	NA	NA	-2.556220	-1.715368	-2.423205	-3.995666	1.304998	-2.793484	-2.952155	
NA	100	100000.00	100000.00	100000.00	749	144.667836	48.242424	185.000000	431.434343	239.838384	135.012935	45.451453	NA	NA	NA	-2.267013	-0.856260	-1.749558	-4.533687	2.069041	-2.491758	-3.703907	
NA	100	100000.00	100000.00	100000.00	606	117.047675	51.899798	133.000000	347.696162	199.797980	113.228933	50.244692	NA	NA	NA	-1.890768	-0.416076	-1.277916	-4.319375	2.218308	-2.087417	-3.674200	
NA	100	100000.00	100000.00	100000.00	575	111.060087	64.084848	136.000000	346.541414	205.313131	105.089856	62.617192	NA	NA	NA	-1.436354	-0.684408	-1.193115	-4.345211	2.661119	-1.515931	-3.951044	
