Ratio_Missing:	nsam[0]:	Eff_length1_pop_outg[0]:	Eff_length2_pop_outg[0]:	Eff_length3_pop_outg[0]:	S[0]:	Theta(Wat)[0]:	Theta(Taj)[0]:	Theta(Fu&Li)[0]:	Theta(Fay&Wu)[0]:	Theta(Zeng)[0]:	Theta(Achaz,Wat)[0]:	Theta(Achaz,Taj)[0]:	Theta/nt(Taj)HKY[0]:	Divergence[0]:	Divergence/nt_HKY[0]:	TajimaD[0]:	Fu&LiD[0]:	Fu&LiF[0]:	Fay&WunormH[0]:	ZengE[0]:	AchazY[0]:	FerrettiL[0]:	
NA	100	100000.00	100000.00	100000.00	1364	263.453842	283.447071	264.000000	255.441818	269.444444	263.323101	283.843950	NA	NA	NA	0.258724	-0.006442	0.137532	0.182442	0.071841	0.293459	0.057059	
NA	100	100000.00	100000.00	100000.00	1366	263.840138	266.570303	260.000000	246.702424	256.636364	264.759408	266.704391	NA	NA	NA	0.035278	0.045230	0.046399	0.129242	-0.086264	0.027664	0.121872	
NA	100	100000.00	100000.00	100000.00	1594	307.877877	344.291717	280.000000	270.859798	307.575758	314.551413	345.603793	NA	NA	NA	0.403391	0.281968	0.389535	0.409548	-0.003103	0.371903	0.225756	
NA	100	100000.00	100000.00	100000.00	1526	294.743815	280.593737	370.000000	289.002222	284.797980	276.728640	278.769120	NA	NA	NA	-0.163721	-0.794650	-0.565662	-0.048980	-0.106674	0.027770	0.036569	
NA	100	100000.00	100000.00	100000.00	1291	249.354040	261.208283	249.000000	290.003838	275.606061	249.438792	261.457431	NA	NA	NA	0.162048	0.004409	0.091178	-0.198161	0.332520	0.181413	-0.305779	
NA	100	100000.00	100000.00	100000.00	1473	284.506972	276.526061	296.000000	235.271919	255.898990	281.755718	276.128633	NA	NA	NA	-0.095655	-0.125666	-0.127609	0.248927	-0.317819	-0.075219	0.324812	
NA	100	100000.00	100000.00	100000.00	1456	281.223456	298.736364	243.000000	278.617172	288.676768	290.373564	299.873840	NA	NA	NA	0.212346	0.422753	0.369460	0.122812	0.083764	0.123233	0.017394	
NA	100	100000.00	100000.00	100000.00	1287	248.581448	252.479394	237.000000	254.167071	253.323232	251.353869	252.795300	NA	NA	NA	0.053450	0.144654	0.115965	-0.011650	0.060247	0.021592	-0.042146	
NA	100	100000.00	100000.00	100000.00	1491	287.983636	283.924646	321.000000	269.550101	276.737374	280.080025	283.168007	NA	NA	NA	-0.048063	-0.356704	-0.240036	0.085692	-0.123439	0.041524	0.120148	
NA	100	100000.00	100000.00	100000.00	1526	294.743815	313.091111	222.000000	280.666465	296.878788	312.157566	314.950113	NA	NA	NA	0.212284	0.768122	0.576322	0.188875	0.022899	0.033701	0.089660	
NA	100	100000.00	100000.00	100000.00	1273	245.877376	231.787273	310.000000	228.273333	230.030303	230.527405	230.191095	NA	NA	NA	-0.195328	-0.809576	-0.592324	0.024522	-0.203547	-0.005492	0.134285	
NA	100	100000.00	100000.00	100000.00	1575	304.208066	314.797980	226.000000	319.828283	317.313131	322.929875	316.610183	NA	NA	NA	0.118726	0.800450	0.544459	-0.028393	0.136207	-0.073729	-0.096405	
NA	100	100000.00	100000.00	100000.00	1485	286.824748	257.135354	279.000000	243.874747	250.505051	288.697872	256.689136	NA	NA	NA	-0.352975	0.084875	-0.142125	0.079370	-0.400248	-0.417605	0.281069	
NA	100	100000.00	100000.00	100000.00	1418	273.883833	269.108283	252.000000	327.618990	298.363636	279.122487	269.457431	NA	NA	NA	-0.059451	0.248432	0.116421	-0.366702	0.282449	-0.130411	-0.368184	
NA	100	100000.00	100000.00	100000.00	1475	284.893268	277.961212	236.000000	351.291313	314.626263	296.597565	278.817563	NA	NA	NA	-0.082972	0.533889	0.274593	-0.441874	0.329872	-0.225805	-0.437448	
NA	100	100000.00	100000.00	100000.00	1513	292.232891	317.499394	280.000000	349.975354	333.737374	295.161257	318.264688	NA	NA	NA	0.294847	0.130266	0.239277	-0.190794	0.448963	0.294836	-0.370912	
NA	100	100000.00	100000.00	100000.00	1432	276.587905	293.399596	287.000000	300.701414	297.050505	274.095409	293.530200	NA	NA	NA	0.207250	-0.117062	0.043126	-0.045316	0.233803	0.267032	-0.163614	
NA	100	100000.00	100000.00	100000.00	1278	246.843116	258.471111	271.000000	250.538990	254.505051	241.060329	258.215420	NA	NA	NA	0.160567	-0.303816	-0.094516	0.055139	0.098031	0.267918	-0.028083	
NA	100	100000.00	100000.00	100000.00	1440	278.133089	278.548081	266.000000	296.502424	287.525253	281.037564	278.804164	NA	NA	NA	0.005088	0.135663	0.084095	-0.110811	0.106720	-0.029931	-0.123950	
NA	100	100000.00	100000.00	100000.00	1273	245.877376	222.723434	275.000000	288.003838	255.363636	238.905868	221.656566	NA	NA	NA	-0.320978	-0.367686	-0.395903	-0.455565	0.121846	-0.271812	-0.321343	
NA	100	100000.00	100000.00	100000.00	1425	275.235869	280.403232	275.000000	291.637172	286.020202	275.292332	280.513502	NA	NA	NA	0.064014	0.002665	0.036589	-0.070061	0.123822	0.071427	-0.111829	
NA	100	100000.00	100000.00	100000.00	1377	265.964766	253.238788	317.000000	245.064242	249.151515	253.747715	251.937539	NA	NA	NA	-0.163131	-0.596372	-0.446705	0.052752	-0.199737	-0.026861	0.147449	
NA	100	100000.00	100000.00	100000.00	1391	268.668838	269.352525	272.000000	276.445455	272.898990	267.871409	269.298495	NA	NA	NA	0.008676	-0.038540	-0.018363	-0.045313	0.049750	0.020062	-0.054313	
NA	100	100000.00	100000.00	100000.00	1482	286.245304	284.085455	299.000000	326.641818	305.363636	283.192025	283.781076	NA	NA	NA	-0.025730	-0.138626	-0.097143	-0.255230	0.211111	0.007834	-0.264892	
NA	100	100000.00	100000.00	100000.00	1160	224.051655	234.214343	200.000000	233.240202	233.727273	229.809251	234.912595	NA	NA	NA	0.154561	0.332744	0.284112	0.007458	0.136306	0.083591	-0.076878	
NA	100	100000.00	100000.00	100000.00	1211	233.902202	242.333131	224.000000	251.747677	247.040404	236.272637	242.707277	NA	NA	NA	0.122840	0.131317	0.145884	-0.069051	0.177339	0.102523	-0.143056	
NA	100	100000.00	100000.00	100000.00	1194	230.618686	217.928081	242.000000	284.455758	251.191919	227.894174	217.436817	NA	NA	NA	-0.187529	-0.153045	-0.194252	-0.494871	0.281626	-0.172724	-0.437689	
NA	100	100000.00	100000.00	100000.00	1371	264.805878	277.918586	247.000000	277.535960	277.727273	269.068332	278.549577	NA	NA	NA	0.168822	0.208968	0.217553	0.002480	0.154171	0.132699	-0.090199	
NA	100	100000.00	100000.00	100000.00	1219	235.447385	238.068687	198.000000	273.567677	255.818182	244.411714	238.886415	NA	NA	NA	0.037943	0.493396	0.316769	-0.258666	0.273171	-0.085111	-0.303593	
NA	100	100000.00	100000.00	100000.00	1306	252.251260	207.641010	291.000000	240.177172	223.909091	242.975406	205.939806	NA	NA	NA	-0.602842	-0.477044	-0.615483	-0.221339	-0.354895	-0.573855	0.089787	
NA	100	100000.00	100000.00	100000.00	1431	276.394757	302.093737	248.000000	259.684040	280.888889	283.192025	303.197691	NA	NA	NA	0.317031	0.319458	0.364787	0.263386	0.051385	0.266068	0.113464	
NA	100	100000.00	100000.00	100000.00	1452	280.450864	285.121616	264.000000	328.736970	306.929293	284.388949	285.552670	NA	NA	NA	0.056789	0.182442	0.140392	-0.266968	0.298393	0.015412	-0.323137	
NA	100	100000.00	100000.00	100000.00	1422	274.656425	259.881616	318.000000	296.522424	278.202020	264.280639	258.695527	NA	NA	NA	-0.183418	-0.490685	-0.394388	-0.228994	0.040795	-0.079581	-0.149402	
NA	100	100000.00	100000.00	100000.00	1262	243.752749	237.522828	279.000000	230.113535	233.818182	235.315098	236.676355	NA	NA	NA	-0.087114	-0.448830	-0.316830	0.052156	-0.128710	0.021777	0.104943	
NA	100	100000.00	100000.00	100000.00	1325	255.921071	266.198182	244.000000	239.316970	252.757576	258.774792	266.651206	NA	NA	NA	0.136895	0.144690	0.161570	0.180256	-0.039048	0.114611	0.121712	
NA	100	100000.00	100000.00	100000.00	1538	297.061590	303.653737	241.000000	290.245253	296.949495	310.481874	304.932385	NA	NA	NA	0.075680	0.587410	0.393332	0.077497	-0.001193	-0.067333	0.043077	
