Ratio_Missing:	nsam[0]:	Eff_length1_pop_outg[0]:	Eff_length2_pop_outg[0]:	Eff_length3_pop_outg[0]:	S[0]:	Theta(Wat)[0]:	Theta(Taj)[0]:	Theta(Fu&Li)[0]:	Theta(Fay&Wu)[0]:	Theta(Zeng)[0]:	Theta(Achaz,Wat)[0]:	Theta(Achaz,Taj)[0]:	Theta/nt(Taj)HKY[0]:	Divergence[0]:	Divergence/nt_HKY[0]:	TajimaD[0]:	Fu&LiD[0]:	Fu&LiF[0]:	Fay&WunormH[0]:	ZengE[0]:	AchazY[0]:	FerrettiL[0]:	
NA	100	100000.00	100000.00	100000.00	1639	316.569536	298.858182	321.000000	305.465051	302.161616	315.508951	298.406308	NA	NA	NA	-0.190832	-0.043596	-0.130496	-0.035839	-0.143928	-0.204212	0.065870	
NA	100	100000.00	100000.00	100000.00	1608	310.581949	305.070707	306.000000	249.636364	277.353535	311.678797	305.051742	NA	NA	NA	-0.060523	0.045945	-0.005582	0.306487	-0.338303	-0.080100	0.368457	
NA	100	100000.00	100000.00	100000.00	1608	310.581949	300.577778	317.000000	241.119192	270.848485	309.045566	300.242630	NA	NA	NA	-0.109863	-0.064356	-0.098640	0.328736	-0.404532	-0.107304	0.419949	
NA	100	100000.00	100000.00	100000.00	1797	347.086917	315.548485	352.000000	318.895960	317.222222	345.910800	314.804576	NA	NA	NA	-0.309999	-0.044141	-0.196062	-0.016566	-0.272213	-0.338841	0.152576	
NA	100	100000.00	100000.00	100000.00	1621	313.092873	269.068081	373.000000	300.810707	284.939394	298.752027	266.947021	NA	NA	NA	-0.479601	-0.595955	-0.619293	-0.174096	-0.284347	-0.401015	0.073661	
NA	100	100000.00	100000.00	100000.00	1646	317.921572	295.005253	329.000000	251.136162	273.070707	315.269567	294.311482	NA	NA	NA	-0.245865	-0.108554	-0.199507	0.236960	-0.446140	-0.250437	0.394480	
NA	100	100000.00	100000.00	100000.00	1465	282.961788	294.765455	270.000000	268.042626	281.404040	286.064641	295.270872	NA	NA	NA	0.142244	0.142489	0.163162	0.162123	-0.017400	0.121213	0.098959	
NA	100	100000.00	100000.00	100000.00	1608	310.581949	279.686667	346.000000	251.767879	265.727273	302.103412	278.333333	NA	NA	NA	-0.339284	-0.355152	-0.398310	0.154358	-0.456672	-0.296389	0.355570	
NA	100	100000.00	100000.00	100000.00	1534	296.288999	278.721818	320.000000	295.156970	286.939394	290.612949	277.879406	NA	NA	NA	-0.202201	-0.249082	-0.259810	-0.095238	-0.099759	-0.165037	0.007173	
NA	100	100000.00	100000.00	100000.00	1688	326.033787	299.486667	341.000000	221.382020	260.434343	322.451106	298.639456	NA	NA	NA	-0.277749	-0.143043	-0.237610	0.411416	-0.636367	-0.278212	0.602827	
NA	100	100000.00	100000.00	100000.00	1384	267.316802	255.501818	268.000000	224.619394	240.060606	267.153255	255.246753	NA	NA	NA	-0.150689	-0.007944	-0.087122	0.198288	-0.322167	-0.167834	0.299706	
NA	100	100000.00	100000.00	100000.00	1645	317.728424	300.559192	353.000000	272.935758	286.747475	309.284951	299.488971	NA	NA	NA	-0.184317	-0.345823	-0.307948	0.149299	-0.308360	-0.119316	0.264736	
NA	100	100000.00	100000.00	100000.00	1310	253.023851	239.956566	258.000000	244.225253	242.090909	251.832638	239.588332	NA	NA	NA	-0.176048	-0.061078	-0.132821	-0.028951	-0.136485	-0.183067	0.065231	
NA	100	100000.00	100000.00	100000.00	1549	299.186218	270.702626	338.000000	253.256970	261.979798	289.894795	269.329210	NA	NA	NA	-0.324684	-0.403837	-0.419505	0.100117	-0.393162	-0.267206	0.288203	
NA	100	100000.00	100000.00	100000.00	1571	303.435474	276.916768	361.000000	286.153939	281.535354	289.655411	275.200783	NA	NA	NA	-0.298063	-0.590647	-0.516854	-0.052270	-0.228194	-0.187962	0.106928	
NA	100	100000.00	100000.00	100000.00	1547	298.799922	303.823636	294.000000	280.277374	292.050505	299.948950	304.024119	NA	NA	NA	0.057339	0.050004	0.061315	0.135301	-0.071413	0.051177	0.116377	
NA	100	100000.00	100000.00	100000.00	1650	318.694164	301.881010	307.000000	236.442222	269.161616	321.493567	301.776541	NA	NA	NA	-0.179949	0.114313	-0.029970	0.352615	-0.491521	-0.231055	0.484663	
NA	100	100000.00	100000.00	100000.00	1527	294.936963	287.482424	291.000000	237.083232	262.282828	295.879411	287.410637	NA	NA	NA	-0.086195	0.041545	-0.022241	0.293385	-0.350004	-0.107813	0.368234	
NA	100	100000.00	100000.00	100000.00	1512	292.039743	291.718990	290.000000	255.089091	273.404040	292.528026	291.754071	NA	NA	NA	-0.003745	0.021735	0.010976	0.215340	-0.201719	-0.009966	0.237511	
NA	100	100000.00	100000.00	100000.00	1312	253.410147	221.702828	300.000000	283.408283	252.555556	242.257252	220.104927	NA	NA	NA	-0.426524	-0.570994	-0.575488	-0.417861	-0.010652	-0.344258	-0.222061	
NA	100	100000.00	100000.00	100000.00	1881	363.311347	370.288081	326.000000	279.651313	324.969697	372.243110	371.191919	NA	NA	NA	0.065520	0.320408	0.227638	0.428561	-0.333935	-0.010642	0.432642	
NA	100	100000.00	100000.00	100000.00	1572	303.628622	314.349495	319.000000	264.438384	289.393939	299.948950	314.254587	NA	NA	NA	0.120423	-0.157621	-0.028568	0.282251	-0.148228	0.179655	0.242333	
NA	100	100000.00	100000.00	100000.00	1581	305.366954	280.504040	308.000000	289.819192	285.161616	304.736643	279.942898	NA	NA	NA	-0.277689	-0.026848	-0.167954	-0.052379	-0.209210	-0.306488	0.095595	
NA	100	100000.00	100000.00	100000.00	1551	299.572514	286.638990	306.000000	240.613535	263.626263	298.033873	286.243867	NA	NA	NA	-0.147239	-0.066790	-0.120534	0.263791	-0.379358	-0.149012	0.369488	
NA	100	100000.00	100000.00	100000.00	1625	313.865465	289.281818	339.000000	298.617172	293.949495	307.848643	288.267161	NA	NA	NA	-0.267154	-0.249430	-0.295529	-0.051075	-0.200656	-0.239615	0.091226	
NA	100	100000.00	100000.00	100000.00	1599	308.843617	285.453131	352.000000	308.183232	296.818182	298.512642	284.095032	NA	NA	NA	-0.258311	-0.435153	-0.401947	-0.126376	-0.123119	-0.181931	0.004015	
NA	100	100000.00	100000.00	100000.00	1569	303.049178	296.924242	301.000000	267.540404	282.232323	303.539720	296.841064	NA	NA	NA	-0.068930	0.021052	-0.025085	0.166485	-0.217182	-0.083131	0.219987	
